year,month,originCountry,totalCount,dollarRate,apparent_temperature_mean_celcius,sunshine_duration_seconds,rain_sum_mm,precipitation_hours,num_establishments,num_rooms,AirPassengerFaresIndex,consumerPriceIndex
2024,January,India,34399,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,185.5
2024,January,Russia,31159,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,251.3
2024,January,United Kingdom,16665,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,130
2024,January,Germany,13593,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,117.6
2024,January,China,11511,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,103.1
2024,January,France,9919,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,118.19
2024,January,Poland,7800,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,182.2
2024,January,Australia,6645,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,137.4
2024,January,United States,5712,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,141.4396793
2024,January,Netherlands,4531,315.7,30.78765432,33462.04969,7.672839506,7.012345679,4519,55455,178,127.11
2024,February,Russia,32030,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,253
2024,February,India,30027,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,185.8
2024,February,United Kingdom,20614,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,130.8
2024,February,Germany,16259,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,118.1
2024,February,China,14836,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,104.2
2024,February,France,12503,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,119.21
2024,February,Poland,6909,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,182.7
2024,February,Australia,6265,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,137.4
2024,February,United States,5709,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,142.3151445
2024,February,Netherlands,4011,309.5,30.90802469,32260.59167,5.719135802,6.203703704,4519,55455,178,127.95
2024,March,India,31853,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,185.8
2024,March,Russia,28016,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,254
2024,March,United Kingdom,21540,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,131.6
2024,March,Germany,18324,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,118.6
2024,March,China,12865,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,103.3
2024,March,France,10960,300.3,30.82839506,37584.72049,2.075308642,4.864197531,4519,55455,178.6,119.47
