year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2022,November,France,368.5,114.26,1841
2022,November,Maldives,368.5,100.0,1626
2022,November,Switzerland,368.5,104.6432,832
2022,December,Russia,367.5,231.9,19963
2022,December,India,367.5,175.7,17350
2022,December,United Kingdom,367.5,125.3,7879
2022,December,Australia,367.5,130.8,5158
2022,December,Germany,367.5,113.2,4984
2022,December,United States,367.5,136.1107608,3638
2022,December,Maldives,367.5,100.4900371,3444
2022,December,France,367.5,114.16,2665
2022,December,Canada,367.5,153.1,2618
2022,December,Israel,367.5,95.0,1457
2022,January,Russia,201.2,209.2546,13478
2022,January,India,201.2,165.7,11751
2022,January,Ukraine,201.2,320.4,7774
2022,January,United Kingdom,201.2,114.6,7442
2022,January,Germany,201.2,105.2,5339
2022,January,France,201.2,108.12,3616
2022,January,Poland,201.2,149.1,3185
2022,January,Australia,201.2,123.9,2814
2022,January,Maldives,201.2,97.55655781,2401
2022,January,Kazakhstan,201.2,227.85,2041
2022,February,Russia,200.92,211.7029,15340
2022,February,India,200.92,166.1,12744
2022,February,United Kingdom,200.92,115.4,10642
2022,February,Germany,200.92,106.0,7780
2022,February,France,200.92,108.94,5699
2022,February,Ukraine,200.92,325.5,5288
2022,February,Poland,200.92,148.7,4315
2022,February,Kazakhstan,200.92,229.673,2821
2022,February,Czech Republic,200.92,126.2,2055
2022,February,Canada,200.92,146.8,1958
2022,March,India,294.0,167.7,23216
2022,March,United Kingdom,294.0,116.5,12908
2022,March,Germany,294.0,108.1,9561
2022,March,Russia,294.0,227.82,8899
2022,March,France,294.0,110.49,5741
2022,March,Poland,294.0,153.6,3315
2022,March,United States,294.0,131.8490017,3114
2022,March,Canada,294.0,148.9,2989
2022,March,Kazakhstan,294.0,238.171,2598
2022,March,Australia,294.0,123.9,2359
2022,April,United Kingdom,355.0,119.0,11539
2022,April,India,355.0,170.1,8678
2022,April,Germany,355.0,108.8,6088
2022,April,France,355.0,110.97,4035
2022,April,Russia,355.0,231.4,3874
2022,April,Australia,355.0,126.1,3508
2022,April,Canada,355.0,149.8,2083
2022,April,United States,355.0,132.5850529,1872
2022,April,Switzerland,355.0,103.3351,1647
2022,April,Netherlands,355.0,119.81,1575
2022,May,India,360.0,171.7,5562
2022,May,United Kingdom,360.0,119.7,3723
2022,May,Russia,360.0,231.6,3202
2022,May,Germany,360.0,109.8,2208
2022,May,Canada,360.0,151.9,2013
2022,May,Australia,360.0,126.1,1660
2022,May,United States,360.0,134.0466074,1368
2022,May,France,360.0,111.72,1076
2022,May,Maldives,360.0,99.08354377,849
2022,May,Spain,360.0,108.262,692
2022,June,India,356.0,172.6,6810
2022,June,United Kingdom,356.0,120.5,3368
2022,June,Australia,356.0,126.1,2511
2022,June,Germany,356.0,109.8,2466
2022,June,Canada,356.0,152.9,2308
2022,June,France,356.0,112.55,1717
2022,June,United States,356.0,135.8878818,1647
2022,June,Russia,356.0,230.8,1610
2022,June,Maldives,356.0,99.5262474,1130
2022,June,Spain,356.0,110.267,1027
2022,July,United Kingdom,357.0,121.2,9257
2022,July,India,357.0,173.4,6031
2022,July,Germany,357.0,110.3,3666
2022,July,France,357.0,112.87,3567
2022,July,Canada,357.0,153.1,3458
2022,July,Switzerland,357.0,104.4916,2207
2022,July,Netherlands,357.0,121.57,2053
2022,July,Australia,357.0,128.4,1974
2022,July,Russia,357.0,229.9,1918
2022,July,Spain,357.0,109.986,1499
2023,January,Russia,365.0,233.9,25254
2023,January,India,365.0,176.5,13759
2023,January,United Kingdom,365.0,124.8,8483
2023,January,Germany,365.0,114.3,8217
2023,January,France,365.0,114.6,4840
2023,January,Canada,365.0,153.9,3681
2023,January,Australia,365.0,132.6,3668
2023,January,United States,365.0,137.1990158,2636
2023,January,Maldives,365.0,101.4508329,2203
2023,January,Israel,365.0,95.2,1868
2023,February,Russia,362.0,234.9,29084
2023,February,India,362.0,176.8,13714
2023,February,United Kingdom,362.0,126.0,8575
2023,February,Germany,362.0,115.2,7930
2023,February,France,362.0,115.78,6118
2023,February,Australia,362.0,132.6,3113
2023,February,Canada,362.0,154.5,3107
2023,February,United States,362.0,137.9648759,2443
2023,February,Israel,362.0,95.7,2188
2023,February,Maldives,362.0,101.6780132,1818
2023,March,Russia,324.0,235.8,25553
2023,March,India,324.0,177.2,18959
2023,March,United Kingdom,324.0,126.8,11053
2023,March,Germany,324.0,116.1,9702
2023,March,France,324.0,116.79,5786
2023,March,United States,324.0,138.4216404,5701
2023,March,Australia,324.0,132.6,4725
2023,March,Canada,324.0,155.3,4066
2023,March,Iran,324.0,174.1,3738
2023,March,China,324.0,103.2,3096
2023,April,India,320.0,178.1,19915
2023,April,Russia,320.0,236.7,14656
2023,April,United Kingdom,320.0,128.3,8743
2023,April,Germany,320.0,116.6,7404
2023,April,France,320.0,117.5,5535
2023,April,China,320.0,103.0,5118
2023,April,Australia,320.0,133.7,4996
2023,April,United States,320.0,139.1219208,3940
2023,April,Canada,320.0,156.4,3310
2023,April,Japan,320.0,105.1,2318
2023,May,India,290.0,179.0,23016
2023,May,Russia,290.0,237.4,7760
2023,May,Germany,290.0,116.5,6854
2023,May,United Kingdom,290.0,129.1,5987
2023,May,Australia,290.0,133.7,4201
2023,May,China,290.0,102.9,4173
2023,May,Canada,290.0,157.0,3753
